@relation CAKU

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute decision {1,2}

@data
0.051843,0.864431,1
0.061060,0.794461,1
0.074885,0.683673,1
0.139401,0.575802,1
0.180876,0.558309,1
0.275346,0.514577,1
0.395161,0.526239,1
0.448157,0.552478,1
0.489631,0.637026,1
0.503456,0.739067,1
0.538018,0.820700,1
0.528802,0.908163,1
0.429724,0.969388,1
0.289171,0.966472,1
0.139401,0.951895,1
0.054147,0.887755,1
0.086406,0.832362,1
0.141705,0.870262,1
0.238479,0.870262,1
0.291475,0.867347,1
0.369816,0.849854,1
0.397465,0.803207,1
0.404378,0.747813,1
0.395161,0.672012,1
0.390553,0.587464,1
0.355991,0.526239,1
0.261521,0.511662,1
0.192396,0.540816,1
0.153226,0.634111,1
0.141705,0.701166,1
0.144009,0.782799,1
0.155530,0.823615,1
0.229263,0.788630,1
0.279954,0.718659,1
0.307604,0.669096,1
0.309908,0.657434,1
0.275346,0.806122,1
0.328341,0.759475,1
0.353687,0.706997,1
0.199309,0.663265,1
0.245392,0.613703,1
0.286866,0.575802,1
0.687788,0.651603,1
0.687788,0.491254,1
0.715438,0.377551,1
0.726959,0.348397,1
0.865207,0.333819,1
0.922811,0.336735,1
0.985023,0.386297,1
1.024194,0.494169,1
0.998848,0.604956,1
0.973502,0.645773,1
0.816820,0.715743,1
0.720046,0.706997,1
0.706221,0.546647,1
0.731567,0.467930,1
0.821429,0.465015,1
0.858295,0.508746,1
0.821429,0.604956,1
0.710829,0.584548,1
0.761521,0.552478,1
0.756912,0.523324,1
0.102535,0.409621,2
0.185484,0.400875,2
0.277650,0.368805,2
0.353687,0.316327,2
0.390553,0.246356,2
0.420507,0.193878,2
0.427419,0.167638,2
0.450461,0.135569,2
0.487327,0.135569,2
0.551843,0.150146,2
0.623272,0.147230,2
0.339862,0.284257,2
0.395161,0.278426,2
0.452765,0.263848,2
0.508065,0.243440,2
0.551843,0.225948,2
0.604839,0.129738,2
0.593318,0.051020,2
0.544931,0.042274,2
0.485023,0.030612,2
0.404378,0.053936,2
0.381336,0.059767,2
0.360599,0.062682,2
0.012673,0.351312,2
0.033410,0.237609,2
0.104839,0.144315,2
0.157834,0.091837,2
0.217742,0.042274,2
0.134793,0.208455,2
0.199309,0.164723,2
0.220046,0.132653,2
0.254608,0.091837,2
0.097926,0.272595,2
0.245392,0.170554,2
0.286866,0.115160,2
0.291475,0.106414,2
0.259217,0.240525,2
0.286866,0.196793,2
0.321429,0.147230,2
0.388249,0.077259,2
