@relation aggregation

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute decision {label2,label7,label4,label3,label6,label1,label5}

@data
15.55,28.65,label2
14.9,27.55,label2
14.45,28.35,label2
14.15,28.8,label2
13.75,28.05,label2
13.35,28.45,label2
13,29.15,label2
13.45,27.5,label2
13.6,26.5,label2
12.8,27.35,label2
12.4,27.85,label2
12.3,28.4,label2
12.2,28.65,label2
13.4,25.1,label2
12.95,25.95,label2
12.9,26.5,label2
11.85,27,label2
11.35,28,label2
11.15,28.7,label2
11.25,27.4,label2
10.75,27.7,label2
10.5,28.35,label2
9.65,28.45,label2
10.25,27.25,label2
10.75,26.55,label2
11.7,26.35,label2
11.6,25.9,label2
11.9,25.05,label2
12.6,24.05,label2
11.9,24.5,label2
11.1,25.2,label2
10.55,25.15,label2
10.05,25.95,label2
9.35,26.6,label2
9.3,27.25,label2
9.2,27.8,label2
7.5,28.25,label2
8.55,27.45,label2
8.5,27.05,label2
8.05,27.2,label2
7.85,26.8,label2
7.3,27.4,label2
6.8,26.85,label2
7,26.5,label2
7.55,26.3,label2
8.55,26.3,label2
9,25.85,label2
8.6,25.65,label2
9.4,25.55,label2
8.45,25.05,label2
8.85,24.6,label2
9.65,24.7,label2
10.55,24.35,label2
11.05,23.9,label2
10.55,23.55,label2
9.45,23.35,label2
9.2,23.9,label2
8.35,23.9,label2
7.35,24.75,label2
7.4,25.45,label2
6.6,25.75,label2
6.1,26,label2
5.8,26.95,label2
5.65,25.8,label2
5.3,26.1,label2
6.4,25.4,label2
5.4,25.25,label2
5.35,24.7,label2
4.8,25.05,label2
4.2,25.55,label2
6.4,24.8,label2
6.55,24.3,label2
7.4,24.25,label2
5.45,24.2,label2
4.3,24,label2
4,24.25,label2
3.35,23.3,label2
4.85,23.05,label2
4.3,22.75,label2
5.85,23.4,label2
5.9,23.55,label2
7.55,23.7,label2
6.85,23.25,label2
7.65,23.1,label2
6.95,22.55,label2
6.1,22.6,label2
5.5,22.6,label2
4.7,22.1,label2
3.8,21.85,label2
4.65,21.2,label2
4.15,20.35,label2
5.3,20.4,label2
5.6,20.75,label2
5.8,21.95,label2
6.4,21.95,label2
6.55,21.15,label2
7.45,21.95,label2
7.4,21.55,label2
7.75,21.2,label2
7.65,20.65,label2
6.95,19.8,label2
6.6,20.1,label2
6.05,20.2,label2
5.4,19.65,label2
5.35,19.05,label2
5.8,18.25,label2
6.3,19.1,label2
7,18.9,label2
7.15,17.9,label2
7.35,18.2,label2
8.2,20.05,label2
8.3,19.45,label2
8.3,18.5,label2
8.75,18.8,label2
9.05,18.2,label2
9.35,17.7,label2
8.9,17.65,label2
8.45,17.2,label2
10.05,17.2,label2
10.4,16.75,label2
8.6,20.9,label2
8.65,21.3,label2
8.65,21.9,label2
8.65,22.5,label2
8.95,22.8,label2
9.95,22.65,label2
8.95,22.2,label2
9.65,21.9,label2
10.55,22.3,label2
10.9,22.85,label2
11.35,23.45,label2
12.05,23.4,label2
12.3,22.75,label2
11.7,22.15,label2
11.15,22.05,label2
10.85,21.5,label2
10.85,21.05,label2
9.6,21.3,label2
9.85,20.7,label2
9.35,20.6,label2
9.25,19.65,label2
9.95,19.8,label2
10.7,20.35,label2
11.3,20.7,label2
12.35,21.6,label2
13.1,21.3,label2
12.85,20.75,label2
12,20,label2
11,19.85,label2
10.35,19,label2
9.9,18.65,label2
10.6,18.15,label2
11.4,18.3,label2
11.4,19.25,label2
12.35,18.8,label2
12.8,19.75,label2
12.15,18.1,label2
11.05,17.5,label2
11.95,17.25,label2
12.25,17.5,label2
13.05,17.4,label2
13.75,18.15,label2
13.5,18.65,label2
13.65,19.25,label2
14,19.9,label2
15.2,18.2,label2
15.5,17.15,label2
13.9,17.1,label2
13.75,16.6,label2
12.15,16.4,label2
7.8,13.7,label7
8.85,13.35,label7
9,12.7,label7
9.7,12.1,label7
8.05,12.9,label7
7.7,13.25,label7
6.8,13.2,label7
6.6,13.45,label7
6.2,12.55,label7
5.4,12.85,label7
5.7,12.25,label7
5.2,11.9,label7
5.15,11.35,label7
5.85,11.2,label7
6.1,11.75,label7
7,12.35,label7
7.05,12.45,label7
7.9,12.5,label7
8.55,12.1,label7
7.85,11.85,label7
7.1,11.95,label7
6.9,11.5,label7
6.85,10.9,label7
6.4,10.7,label7
5.9,10.3,label7
6.4,10.25,label7
7.05,10.05,label7
7.35,10.5,label7
7.65,11.1,label7
8.1,11.2,label7
8.8,11.4,label7
8.3,10.55,label7
9,10.9,label7
9.35,10.5,label7
10.15,11,label4
10.4,10.55,label4
10.9,10,label4
11.55,10.2,label4
11.75,10.85,label4
10.1,8.65,label4
11.05,9.1,label4
11.85,9.8,label4
12.85,10.65,label4
12.9,11.7,label4
13.6,11.1,label4
14.05,11.75,label4
14.5,11.8,label4
14.3,12.45,label4
17,12.9,label4
15.8,12.6,label4
15.85,12,label4
16.7,12.2,label4
16.25,11.7,label4
15.55,11.15,label4
14.8,11.35,label4
14.45,10.75,label4
13.75,10.45,label4
12.8,10.1,label4
13.15,9.8,label4
12.45,9.3,label4
11.8,8.95,label4
11.1,8.45,label4
10.35,7.7,label4
10.1,6.75,label4
11.3,7.95,label4
12.35,8.45,label4
13.1,8.95,label4
13.2,9.35,label4
14.1,10.05,label4
11.5,7.5,label4
11.35,6.9,label4
11.95,6.75,label4
12.4,7.1,label4
12.25,7.6,label4
12.95,7.6,label4
13.45,7.95,label4
13.35,8.25,label4
13.75,9,label4
14.3,9.3,label4
14.85,9.55,label4
15.1,10.25,label4
15.45,10.55,label4
16.35,10.85,label4
16.75,11.5,label4
16.25,10.2,label4
15.4,10.1,label4
15.45,9.7,label4
15.15,9.3,label4
15.25,8.65,label4
15.55,8.2,label4
14.25,8.7,label4
14.25,8.25,label4
15.05,7.8,label4
14.3,7.5,label4
13.55,7.45,label4
14.3,6.95,label4
13.95,6.7,label4
13.05,6.95,label4
13.05,6.2,label4
11.55,6.3,label4
10.8,5.85,label4
10.6,5.05,label4
11.35,5.55,label4
12.15,5.4,label4
12.4,5.8,label4
12.8,5.7,label4
13.65,5.9,label4
13.9,5.3,label4
13.1,5.1,label4
12.55,4.9,label4
11.5,4.75,label4
11.35,4.05,label4
12.4,4.35,label4
11.75,3.45,label4
12.65,3.7,label4
13.4,4.35,label4
13.9,4.95,label4
12.75,3,label4
13.55,3.15,label4
13.7,3.65,label4
14.1,4.1,label4
14.65,5.05,label4
14.35,5.75,label4
14.5,6.55,label4
15.15,7.1,label4
13.6,2.55,label4
14.45,2.4,label4
14.6,3.05,label4
15,3.4,label4
15.25,3.5,label4
14.7,4.1,label4
14.7,4.5,label4
15.25,2.7,label4
15.65,2.05,label4
15.95,2.8,label4
16.1,3.55,label4
15.9,4,label4
15.6,4.75,label4
15.55,5.05,label4
15.35,5.5,label4
15.15,5.95,label4
15.5,6.75,label4
15.7,6.35,label4
16.2,5.9,label4
16.35,5.35,label4
16.2,4.55,label4
16.55,4.2,label4
16.95,4.75,label4
17.05,5.1,label4
17.3,4.8,label4
17.3,4.15,label4
17.6,4.3,label4
17.05,3.7,label4
17.25,3.05,label4
16.65,2.8,label4
16.55,2.15,label4
17.2,2.05,label4
18.15,1.95,label4
18.05,2.45,label4
18.15,3.05,label4
18.6,3.45,label4
18.4,3.6,label4
18.85,3.2,label4
19.1,2.65,label4
19.45,2.65,label4
19,2.1,label4
19.9,2.05,label4
20.45,2.8,label4
19.8,3.25,label4
19.45,3.9,label4
18.65,4.2,label4
18.4,4.6,label4
18.65,4.75,label4
18.75,5.15,label4
19.1,4.55,label4
17.9,5.4,label4
17.65,5.7,label4
17.05,6.05,label4
17.4,6.5,label4
16.6,6.85,label4
15.7,7.15,label4
15.75,7.75,label4
16.6,7.95,label4
20.4,3.4,label4
20.7,3.45,label4
21.15,2.85,label4
21.75,2.65,label4
22,3.25,label4
22.2,3.5,label4
21.45,3.75,label4
21.1,4.05,label4
20.15,4.3,label4
20.8,4.7,label4
20.7,5.15,label4
19.75,5.05,label4
19.85,5.5,label4
20.4,5.65,label4
20.55,5.75,label4
18.7,5.75,label4
19.25,5.95,label4
18.4,6,label4
18.45,6.6,label4
17.65,7.05,label4
16.7,7.4,label4
18.65,7.3,label4
18.05,7.35,label4
17.85,7.75,label4
17.5,8.25,label4
17.15,8.6,label4
17.05,9,label4
16.4,8.7,label4
16.05,8.95,label4
16.05,9.6,label4
16.5,9.75,label4
17.25,9.6,label4
17.6,9.9,label4
17.8,9.3,label4
18,8.55,label4
18.8,8.1,label4
18.8,8.35,label4
19.4,7.6,label4
19.25,6.6,label4
20.05,6.95,label4
19.8,7.5,label4
20.05,6.35,label4
21.15,5.7,label4
21.65,4.85,label4
22.15,4.35,label4
23.05,3.35,label4
23.05,3.8,label4
23.15,4.4,label4
22.5,4.75,label4
22.15,5.2,label4
24.15,4.55,label4
23.5,5.05,label4
23.1,5.3,label4
23,5.75,label4
22.2,5.75,label4
21.85,6.2,label4
20.75,6.55,label4
21,7.15,label4
20.75,7.65,label4
20,8.2,label4
19.5,8.65,label4
18.85,9.05,label4
18.75,9.55,label4
18.6,10,label4
16.95,10.35,label4
17.35,10.85,label4
18,10.65,label4
18.5,10.55,label4
18.1,11.1,label4
17.55,11.3,label4
17.95,11.9,label4
18.3,12,label4
18,12.5,label4
19,11.65,label4
19.5,11.05,label4
19.45,10.55,label4
19.4,9.65,label4
20.1,9.4,label4
20.05,9.95,label4
20.05,10.2,label4
19.35,12.2,label4
19.2,12.25,label4
20.05,11.6,label4
20.6,11.15,label4
20.7,10.65,label4
21.3,11.65,label4
21.8,11.15,label4
21.85,10.7,label4
21.65,10.05,label4
20.95,10.2,label4
20.9,9.7,label4
21.65,9.45,label4
21.2,9.25,label4
20.75,8.75,label4
20.55,8.75,label4
21.1,8,label4
21.65,8.65,label4
21.75,8.2,label4
21.95,7.55,label4
22,6.75,label4
22.8,6.45,label4
22.65,6.65,label4
22.75,7.05,label4
23,7.35,label4
22.55,7.9,label4
22.2,8.7,label4
22.9,8.45,label4
22.35,9.2,label4
22.75,9.35,label4
22.4,10.05,label4
23.05,10.9,label4
23.3,9.85,label4
23.95,9.8,label4
23.65,9.1,label4
23.7,8.85,label4
24.25,8.25,label4
24.85,7.95,label4
23.5,7.85,label4
23.85,7.35,label4
23.95,6.9,label4
23.65,6.5,label4
23.6,5.7,label4
24.3,5.65,label4
24.8,6.4,label4
34.05,3.5,label3
33.05,3.85,label3
32,3.8,label3
31.9,4.4,label3
31.05,4.75,label3
30.4,5.65,label3
30.75,6.1,label3
30,6.7,label3
30.1,7.4,label3
29.5,8.15,label3
30.75,8,label3
30.85,7.35,label3
31.5,6.75,label3
31.75,5.95,label3
32.35,6.45,label3
32.8,6,label3
32.05,5.1,label3
32.8,4.8,label3
